question_id,question_subcategory,question_keyword,question_description,question_type,train_phase
benefit_search-preventive_care-1,preventive care,Hepatitis B Virus (HBV) infection screening ,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover hepatitis B Virus (HBV) infection screening ?
benefit_search-preventive_care-2,preventive care,Hepatitis B Virus (HBV) infection screening ,How much does [preventive benefits] cost to me?,2,How much does hepatitis B Virus (HBV) infection screening  cost to me?
benefit_search-preventive_care-1,preventive care,Hepatitis C screening test,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover hepatitis C screening test?
benefit_search-preventive_care-2,preventive care,Hepatitis C screening test,How much does [preventive benefits] cost to me?,2,How much does hepatitis C screening test cost to me?
benefit_search-preventive_care-1,preventive care,HIV screening,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover hIV screening?
benefit_search-preventive_care-2,preventive care,HIV screening,How much does [preventive benefits] cost to me?,2,How much does hIV screening cost to me?
benefit_search-preventive_care-1,preventive care,Lung cancer screening,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover lung cancer screening?
benefit_search-preventive_care-2,preventive care,Lung cancer screening,How much does [preventive benefits] cost to me?,2,How much does lung cancer screening cost to me?
benefit_search-preventive_care-1,preventive care,Mammograms (screening),Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover mammograms (screening)?
benefit_search-preventive_care-2,preventive care,Mammograms (screening),How much does [preventive benefits] cost to me?,2,How much does mammograms (screening) cost to me?
benefit_search-preventive_care-1,preventive care,Nutrition therapy services,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover nutrition therapy services?
benefit_search-preventive_care-2,preventive care,Nutrition therapy services,How much does [preventive benefits] cost to me?,2,How much does nutrition therapy services cost to me?
benefit_search-preventive_care-1,preventive care,Obesity screenings & counseling,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover obesity screenings & counseling?
benefit_search-preventive_care-2,preventive care,Obesity screenings & counseling,How much does [preventive benefits] cost to me?,2,How much does obesity screenings & counseling cost to me?
benefit_search-preventive_care-1,preventive care,One-time “Welcome to Medicare” preventive visit,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover one-time “Welcome to Medicare” preventive visit?
benefit_search-preventive_care-2,preventive care,One-time “Welcome to Medicare” preventive visit,How much does [preventive benefits] cost to me?,2,How much does one-time “Welcome to Medicare” preventive visit cost to me?
benefit_search-preventive_care-1,preventive care,Pneumococcal shots,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover pneumococcal shots?
benefit_search-preventive_care-2,preventive care,Pneumococcal shots,How much does [preventive benefits] cost to me?,2,How much does pneumococcal shots cost to me?
benefit_search-preventive_care-1,preventive care,Prostate cancer screenings,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover prostate cancer screenings?
benefit_search-preventive_care-2,preventive care,Prostate cancer screenings,How much does [preventive benefits] cost to me?,2,How much does prostate cancer screenings cost to me?
benefit_search-preventive_care-1,preventive care,Sexually transmitted infections screening & counseling,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover sexually transmitted infections screening & counseling?
benefit_search-preventive_care-2,preventive care,Sexually transmitted infections screening & counseling,How much does [preventive benefits] cost to me?,2,How much does sexually transmitted infections screening & counseling cost to me?
benefit_search-preventive_care-1,preventive care,COVID 19 vaccines,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover cOVID 19 vaccines?
benefit_search-preventive_care-2,preventive care,COVID 19 vaccines,How much does [preventive benefits] cost to me?,2,How much does cOVID 19 vaccines cost to me?
benefit_search-preventive_care-1,preventive care,Tobacco use cessation counseling,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover tobacco use cessation counseling?
benefit_search-preventive_care-2,preventive care,Tobacco use cessation counseling,How much does [preventive benefits] cost to me?,2,How much does tobacco use cessation counseling cost to me?
benefit_search-preventive_care-1,preventive care,"Yearly ""Wellness"" visit",Which plan(s) cover [preventive benefits]?,1,"Which plan(s) cover yearly ""Wellness"" visit?"
benefit_search-preventive_care-2,preventive care,"Yearly ""Wellness"" visit",How much does [preventive benefits] cost to me?,2,"How much does yearly ""Wellness"" visit cost to me?"
benefit_search-outpatient_hospital-1,outpatient hospital,Outpatient surgery,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover outpatient surgery?
benefit_search-outpatient_hospital-2,outpatient hospital,Outpatient surgery,How much does [outpatient hospital services] cost to me?,2,How much does outpatient surgery cost to me?
benefit_search-outpatient_hospital-1,outpatient hospital,Outpatient treatment,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover outpatient treatment?
benefit_search-outpatient_hospital-2,outpatient hospital,Outpatient treatment,How much does [outpatient hospital services] cost to me?,2,How much does outpatient treatment cost to me?
benefit_search-outpatient_hospital-1,outpatient hospital,Outpatient procedure,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover outpatient procedure?
benefit_search-outpatient_hospital-2,outpatient hospital,Outpatient procedure,How much does [outpatient hospital services] cost to me?,2,How much does outpatient procedure cost to me?
benefit_search-outpatient_hospital-1,outpatient hospital,Day surgery,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover day surgery?
benefit_search-outpatient_hospital-2,outpatient hospital,Day surgery,How much does [outpatient hospital services] cost to me?,2,How much does day surgery cost to me?
benefit_search-ambulatory_surgical_center-1,ambulatory surgical center,Ambulatory surgical center,Which plan(s) cover [ambulatory surgical center (ASC)]?,1,Which plan(s) cover ambulatory surgical center?
benefit_search-ambulatory_surgical_center-2,ambulatory surgical center,Ambulatory surgical center,How much does [ambulatory surgical center (ASC)] cost to me?,2,How much does ambulatory surgical center cost to me?
benefit_search-outpatient_hospital_observation_services-1,outpatient hospital observation services,Outpatient observation,Which plan(s) cover [outpatient hospital observation services]?,1,Which plan(s) cover outpatient observation?
benefit_search-outpatient_hospital_observation_services-2,outpatient hospital observation services,Outpatient observation,How much does [outpatient hospital observation services] cost to me?,2,How much does outpatient observation cost to me?
benefit_search-outpatient_breast_procedure-1,outpatient breast procedure,Outpatient breast procedure,Which plan(s) cover [outpatient breast procedure]?,1,Which plan(s) cover outpatient breast procedure?
benefit_search-outpatient_breast_procedure-2,outpatient breast procedure,Outpatient breast procedure,How much does [outpatient breast procedure] cost to me?,2,How much does outpatient breast procedure cost to me?
benefit_search-outpatient_cardiovascular_procedure-1,outpatient cardiovascular procedure,Outpatient cardiovascular procedure,Which plan(s) cover [outpatient cardiovascular procedure]?,1,Which plan(s) cover outpatient cardiovascular procedure?
benefit_search-outpatient_cardiovascular_procedure-2,outpatient cardiovascular procedure,Outpatient cardiovascular procedure,How much does [outpatient cardiovascular procedure] cost to me?,2,How much does outpatient cardiovascular procedure cost to me?
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,Outpatient digestive/gastrointestinal procedure,Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,Which plan(s) cover outpatient digestive/gastrointestinal procedure?
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,Outpatient digestive/gastrointestinal procedure,How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,How much does outpatient digestive/gastrointestinal procedure cost to me?
benefit_search-outpatient_eye_procedure-1,outpatient eye procedure,Outpatient eye procedure,Which plan(s) cover [outpatient eye procedure]?,1,Which plan(s) cover outpatient eye procedure?
benefit_search-outpatient_eye_procedure-2,outpatient eye procedure,Outpatient eye procedure,How much does [outpatient eye procedure] cost to me?,2,How much does outpatient eye procedure cost to me?
benefit_search-outpatient_hematology_procedure-1,outpatient hematology procedure,Outpatient hematology procedure,Which plan(s) cover [outpatient hematology procedure]?,1,Which plan(s) cover outpatient hematology procedure?
benefit_search-outpatient_hematology_procedure-2,outpatient hematology procedure,Outpatient hematology procedure,How much does [outpatient hematology procedure] cost to me?,2,How much does outpatient hematology procedure cost to me?
benefit_search-outpatient_musculoskeletal_procedure-1,outpatient musculoskeletal procedure,Outpatient musculoskeletal procedure,Which plan(s) cover [outpatient musculoskeletal procedure]?,1,Which plan(s) cover outpatient musculoskeletal procedure?
benefit_search-outpatient_musculoskeletal_procedure-2,outpatient musculoskeletal procedure,Outpatient musculoskeletal procedure,How much does [outpatient musculoskeletal procedure] cost to me?,2,How much does outpatient musculoskeletal procedure cost to me?
benefit_search-outpatient_other_organ_systems_procedure-1,outpatient other organ systems procedure,Outpatient other organ systems procedure,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover outpatient other organ systems procedure?
benefit_search-outpatient_other_organ_systems_procedure-2,outpatient other organ systems procedure,Outpatient other organ systems procedure,How much does [outpatient hospital services] cost to me?,2,How much does outpatient other organ systems procedure cost to me?
benefit_search-outpatient_skin_procedure-1,outpatient skin procedure,Outpatient skin procedure,Which plan(s) cover [outpatient skin procedure]?,1,Which plan(s) cover outpatient skin procedure?
benefit_search-outpatient_skin_procedure-2,outpatient skin procedure,Outpatient skin procedure,How much does [outpatient skin procedure] cost to me?,2,How much does outpatient skin procedure cost to me?
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,Outpatient vascular procedure,Which plan(s) cover [outpatient vascular procedure]?,1,Which plan(s) cover outpatient vascular procedure?
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,Outpatient vascular procedure,How much does [outpatient vascular procedure] cost to me?,2,How much does outpatient vascular procedure cost to me?
benefit_search-outpatient_breast_procedure-1,outpatient breast procedure,Mastectomy,Which plan(s) cover [outpatient breast procedure]?,1,Which plan(s) cover mastectomy?
benefit_search-outpatient_breast_procedure-2,outpatient breast procedure,Mastectomy,How much does [outpatient breast procedure] cost to me?,2,How much does mastectomy cost to me?
benefit_search-outpatient_cardiovascular_procedure-1,outpatient cardiovascular procedure,Insertion/Removal/Replacement ICD,Which plan(s) cover [outpatient cardiovascular procedure]?,1,Which plan(s) cover insertion/Removal/Replacement ICD?
benefit_search-outpatient_cardiovascular_procedure-2,outpatient cardiovascular procedure,Insertion/Removal/Replacement ICD,How much does [outpatient cardiovascular procedure] cost to me?,2,How much does insertion/Removal/Replacement ICD cost to me?
benefit_search-outpatient_cardiovascular_procedure-1,outpatient cardiovascular procedure,Pacemaker Insertion or Repair,Which plan(s) cover [outpatient cardiovascular procedure]?,1,Which plan(s) cover pacemaker Insertion or Repair?
benefit_search-outpatient_cardiovascular_procedure-2,outpatient cardiovascular procedure,Pacemaker Insertion or Repair,How much does [outpatient cardiovascular procedure] cost to me?,2,How much does pacemaker Insertion or Repair cost to me?
benefit_search-outpatient_cardiovascular_procedure-1,outpatient cardiovascular procedure,Pacemaker Removal,Which plan(s) cover [outpatient cardiovascular procedure]?,1,Which plan(s) cover pacemaker Removal?
benefit_search-outpatient_cardiovascular_procedure-2,outpatient cardiovascular procedure,Pacemaker Removal,How much does [outpatient cardiovascular procedure] cost to me?,2,How much does pacemaker Removal cost to me?
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,Cholecystectomy - Laparoscopic,Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,Which plan(s) cover cholecystectomy - Laparoscopic?
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,Cholecystectomy - Laparoscopic,How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,How much does cholecystectomy - Laparoscopic cost to me?
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,Colonoscopy - Lesion Removal,Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,Which plan(s) cover colonoscopy - Lesion Removal?
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,Colonoscopy - Lesion Removal,How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,How much does colonoscopy - Lesion Removal cost to me?
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,Hernia Repair - Laparoscopic (any site),Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,Which plan(s) cover hernia Repair - Laparoscopic (any site)?
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,Hernia Repair - Laparoscopic (any site),How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,How much does hernia Repair - Laparoscopic (any site) cost to me?
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,Hernia Repair - Open (Inguinal),Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,Which plan(s) cover hernia Repair - Open (Inguinal)?
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,Hernia Repair - Open (Inguinal),How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,How much does hernia Repair - Open (Inguinal) cost to me?
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,Lower GI Endoscopy - Other,Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,Which plan(s) cover lower GI Endoscopy - Other?
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,Lower GI Endoscopy - Other,How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,How much does lower GI Endoscopy - Other cost to me?
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,Upper GI Endoscopy,Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,Which plan(s) cover upper GI Endoscopy?
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,Upper GI Endoscopy,How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,How much does upper GI Endoscopy cost to me?
benefit_search-outpatient_eye_procedure-1,outpatient eye procedure,Cataract Surgery,Which plan(s) cover [outpatient eye procedure]?,1,Which plan(s) cover cataract Surgery?
benefit_search-outpatient_eye_procedure-2,outpatient eye procedure,Cataract Surgery,How much does [outpatient eye procedure] cost to me?,2,How much does cataract Surgery cost to me?
benefit_search-outpatient_eye_procedure-1,outpatient eye procedure,Intravitreal Injection,Which plan(s) cover [outpatient eye procedure]?,1,Which plan(s) cover intravitreal Injection?
benefit_search-outpatient_eye_procedure-2,outpatient eye procedure,Intravitreal Injection,How much does [outpatient eye procedure] cost to me?,2,How much does intravitreal Injection cost to me?
benefit_search-outpatient_eye_procedure-1,outpatient eye procedure,Vitrectomy - Mechanical,Which plan(s) cover [outpatient eye procedure]?,1,Which plan(s) cover vitrectomy - Mechanical?
benefit_search-outpatient_eye_procedure-2,outpatient eye procedure,Vitrectomy - Mechanical,How much does [outpatient eye procedure] cost to me?,2,How much does vitrectomy - Mechanical cost to me?
benefit_search-outpatient_hematology_procedure-1,outpatient hematology procedure,Red Blood Cell Transfusion,Which plan(s) cover [outpatient hematology procedure]?,1,Which plan(s) cover red Blood Cell Transfusion?
benefit_search-outpatient_hematology_procedure-2,outpatient hematology procedure,Red Blood Cell Transfusion,How much does [outpatient hematology procedure] cost to me?,2,How much does red Blood Cell Transfusion cost to me?
benefit_search-outpatient_musculoskeletal_procedure-1,outpatient musculoskeletal procedure,Arthrodesis - Spine,Which plan(s) cover [outpatient musculoskeletal procedure]?,1,Which plan(s) cover arthrodesis - Spine?
benefit_search-outpatient_musculoskeletal_procedure-2,outpatient musculoskeletal procedure,Arthrodesis - Spine,How much does [outpatient musculoskeletal procedure] cost to me?,2,How much does arthrodesis - Spine cost to me?
benefit_search-outpatient_musculoskeletal_procedure-1,outpatient musculoskeletal procedure,Arthroplasty - Hip,Which plan(s) cover [outpatient musculoskeletal procedure]?,1,Which plan(s) cover arthroplasty - Hip?
benefit_search-outpatient_musculoskeletal_procedure-2,outpatient musculoskeletal procedure,Arthroplasty - Hip,How much does [outpatient musculoskeletal procedure] cost to me?,2,How much does arthroplasty - Hip cost to me?
benefit_search-outpatient_musculoskeletal_procedure-1,outpatient musculoskeletal procedure,Arthroplasty - Knee,Which plan(s) cover [outpatient musculoskeletal procedure]?,1,Which plan(s) cover arthroplasty - Knee?
benefit_search-outpatient_musculoskeletal_procedure-2,outpatient musculoskeletal procedure,Arthroplasty - Knee,How much does [outpatient musculoskeletal procedure] cost to me?,2,How much does arthroplasty - Knee cost to me?
benefit_search-outpatient_musculoskeletal_procedure-1,outpatient musculoskeletal procedure,Arthroscopy - Lower Extremity,Which plan(s) cover [outpatient musculoskeletal procedure]?,1,Which plan(s) cover arthroscopy - Lower Extremity?
benefit_search-outpatient_musculoskeletal_procedure-2,outpatient musculoskeletal procedure,Arthroscopy - Lower Extremity,How much does [outpatient musculoskeletal procedure] cost to me?,2,How much does arthroscopy - Lower Extremity cost to me?
benefit_search-outpatient_musculoskeletal_procedure-1,outpatient musculoskeletal procedure,Arthroscopy - Upper Extremity,Which plan(s) cover [outpatient musculoskeletal procedure]?,1,Which plan(s) cover arthroscopy - Upper Extremity?
benefit_search-outpatient_musculoskeletal_procedure-2,outpatient musculoskeletal procedure,Arthroscopy - Upper Extremity,How much does [outpatient musculoskeletal procedure] cost to me?,2,How much does arthroscopy - Upper Extremity cost to me?
benefit_search-outpatient_musculoskeletal_procedure-1,outpatient musculoskeletal procedure,Destruction by Neurolytic Agent - Back,Which plan(s) cover [outpatient musculoskeletal procedure]?,1,Which plan(s) cover destruction by Neurolytic Agent - Back?
benefit_search-outpatient_musculoskeletal_procedure-2,outpatient musculoskeletal procedure,Destruction by Neurolytic Agent - Back,How much does [outpatient musculoskeletal procedure] cost to me?,2,How much does destruction by Neurolytic Agent - Back cost to me?
benefit_search-outpatient_musculoskeletal_procedure-1,outpatient musculoskeletal procedure,Joint Injection,Which plan(s) cover [outpatient musculoskeletal procedure]?,1,Which plan(s) cover joint Injection?
benefit_search-outpatient_musculoskeletal_procedure-2,outpatient musculoskeletal procedure,Joint Injection,How much does [outpatient musculoskeletal procedure] cost to me?,2,How much does joint Injection cost to me?
benefit_search-outpatient_musculoskeletal_procedure-1,outpatient musculoskeletal procedure,Laminotomy or Laminectomy - Lumbar,Which plan(s) cover [outpatient musculoskeletal procedure]?,1,Which plan(s) cover laminotomy or Laminectomy - Lumbar?
benefit_search-outpatient_musculoskeletal_procedure-2,outpatient musculoskeletal procedure,Laminotomy or Laminectomy - Lumbar,How much does [outpatient musculoskeletal procedure] cost to me?,2,How much does laminotomy or Laminectomy - Lumbar cost to me?
benefit_search-outpatient_musculoskeletal_procedure-1,outpatient musculoskeletal procedure,Nerve Block Injection - Back,Which plan(s) cover [outpatient musculoskeletal procedure]?,1,Which plan(s) cover nerve Block Injection - Back?
benefit_search-outpatient_musculoskeletal_procedure-2,outpatient musculoskeletal procedure,Nerve Block Injection - Back,How much does [outpatient musculoskeletal procedure] cost to me?,2,How much does nerve Block Injection - Back cost to me?
benefit_search-outpatient_musculoskeletal_procedure-1,outpatient musculoskeletal procedure,Neurostimulator - Back,Which plan(s) cover [outpatient musculoskeletal procedure]?,1,Which plan(s) cover neurostimulator - Back?
benefit_search-outpatient_musculoskeletal_procedure-2,outpatient musculoskeletal procedure,Neurostimulator - Back,How much does [outpatient musculoskeletal procedure] cost to me?,2,How much does neurostimulator - Back cost to me?
benefit_search-outpatient_musculoskeletal_procedure-1,outpatient musculoskeletal procedure,Percutaneous Vertebroplasty,Which plan(s) cover [outpatient musculoskeletal procedure]?,1,Which plan(s) cover percutaneous Vertebroplasty?
benefit_search-outpatient_musculoskeletal_procedure-2,outpatient musculoskeletal procedure,Percutaneous Vertebroplasty,How much does [outpatient musculoskeletal procedure] cost to me?,2,How much does percutaneous Vertebroplasty cost to me?
benefit_search-outpatient_other_organ_systems_procedure-1,outpatient other organ systems procedure,Bronchoscopy,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover bronchoscopy?
benefit_search-outpatient_other_organ_systems_procedure-2,outpatient other organ systems procedure,Bronchoscopy,How much does [outpatient hospital services] cost to me?,2,How much does bronchoscopy cost to me?
benefit_search-outpatient_other_organ_systems_procedure-1,outpatient other organ systems procedure,Calculus Removal - Urinary,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover calculus Removal - Urinary?
benefit_search-outpatient_other_organ_systems_procedure-2,outpatient other organ systems procedure,Calculus Removal - Urinary,How much does [outpatient hospital services] cost to me?,2,How much does calculus Removal - Urinary cost to me?
benefit_search-outpatient_other_organ_systems_procedure-1,outpatient other organ systems procedure,Cystourethroscopy,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover cystourethroscopy?
benefit_search-outpatient_other_organ_systems_procedure-2,outpatient other organ systems procedure,Cystourethroscopy,How much does [outpatient hospital services] cost to me?,2,How much does cystourethroscopy cost to me?
benefit_search-outpatient_other_organ_systems_procedure-1,outpatient other organ systems procedure,Lymph Node Biopsy,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover lymph Node Biopsy?
benefit_search-outpatient_other_organ_systems_procedure-2,outpatient other organ systems procedure,Lymph Node Biopsy,How much does [outpatient hospital services] cost to me?,2,How much does lymph Node Biopsy cost to me?
benefit_search-outpatient_other_organ_systems_procedure-1,outpatient other organ systems procedure,Nasal/Sinus Endoscopy,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover nasal/Sinus Endoscopy?
benefit_search-outpatient_other_organ_systems_procedure-2,outpatient other organ systems procedure,Nasal/Sinus Endoscopy,How much does [outpatient hospital services] cost to me?,2,How much does nasal/Sinus Endoscopy cost to me?
benefit_search-outpatient_other_organ_systems_procedure-1,outpatient other organ systems procedure,Prostate Resection,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover prostate Resection?
benefit_search-outpatient_other_organ_systems_procedure-2,outpatient other organ systems procedure,Prostate Resection,How much does [outpatient hospital services] cost to me?,2,How much does prostate Resection cost to me?
benefit_search-outpatient_skin_procedure-1,outpatient skin procedure,Debridement,Which plan(s) cover [outpatient skin procedure]?,1,Which plan(s) cover debridement?
benefit_search-outpatient_skin_procedure-2,outpatient skin procedure,Debridement,How much does [outpatient skin procedure] cost to me?,2,How much does debridement cost to me?
benefit_search-outpatient_skin_procedure-1,outpatient skin procedure,Destruction Skin Lesion,Which plan(s) cover [outpatient skin procedure]?,1,Which plan(s) cover destruction Skin Lesion?
benefit_search-outpatient_skin_procedure-2,outpatient skin procedure,Destruction Skin Lesion,How much does [outpatient skin procedure] cost to me?,2,How much does destruction Skin Lesion cost to me?
